cay = c - 0.297479 a - 0.735506 y - 0.722305,,,,
date,c (pce),a,y,cay
200904,10.37346724,12.13236259,10.18954467,-0.006053587
201001,10.3768147,12.14320785,10.1901009,-0.00628912
201002,10.38306963,12.12502112,10.20189196,-0.003446581
201003,10.38749002,12.14790776,10.20491143,-0.0079539
201004,10.39562927,12.18075082,10.20412167,-0.008833234
201101,10.39895856,12.19215419,10.21116966,-0.014056696
201102,10.39928671,12.18666771,10.20272343,-0.005870633
201103,10.40161421,12.14560243,10.20152361,0.009352739
201104,10.40304465,12.16814648,10.19352334,0.010114759
201201,10.4074119,12.19724276,10.20575704,-0.003083695
201202,10.40744652,12.19647883,10.20734188,-0.003999136
201203,10.40813637,12.22204848,10.2050388,-0.009080644
201204,10.40899115,12.23201668,10.21778149,-0.020575364
201301,10.41221174,12.26701342,10.18444763,-0.002907183
201302,10.41269374,12.28741441,10.19214092,-0.014086618
201303,10.41542068,12.31549231,10.19461342,-0.021400336
201304,10.42182719,12.34393754,10.1956371,-0.024069159
201401,10.42489812,12.35049294,10.20236183,-0.027894087
201402,10.43254256,12.36582534,10.20839632,-0.029200833
201403,10.43968581,12.36600668,10.21662873,-0.028205959
201404,10.4489525,12.38550373,10.22659305,-0.032017881
201501,10.45332925,12.40860862,10.23499881,-0.04062072
201502,10.45879629,12.41154949,10.24298461,-0.041926345
201503,10.46354065,12.39293782,10.24873984,-0.036001135
201504,10.4672897,12.41373473,10.25893504,-0.045881732
201601,10.46980079,12.41672556,10.2620295,-0.046536331
201602,10.4787019,12.42159456,10.26925521,-0.044408903
201603,10.48408741,12.43492145,10.27501678,-0.047186097
